test_case,hdf5_file,global_nx,global_ny,procs,run,total_time_seconds,num_iterations,time_per_iteration
3,Data_nx101_500km.h5,100,100,1,1,0.000776448,1,0.000776448
3,Data_nx101_500km.h5,100,100,1,2,0.000769669,1,0.000769669
3,Data_nx101_500km.h5,100,100,1,3,0.000780875,1,0.000780875
3,Data_nx101_500km.h5,100,100,2,1,0.000470431,1,0.000470431
3,Data_nx101_500km.h5,100,100,2,2,0.000468547,1,0.000468547
3,Data_nx101_500km.h5,100,100,2,3,0.000459659,1,0.000459659
3,Data_nx101_500km.h5,100,100,4,1,0.00510387,1,0.00510387
3,Data_nx101_500km.h5,100,100,4,2,0.00902673,1,0.00902673
3,Data_nx101_500km.h5,100,100,4,3,0.00471823,1,0.00471823
3,Data_nx101_500km.h5,100,100,8,1,0.0120585,1,0.0120585
3,Data_nx101_500km.h5,100,100,8,2,0.00824119,1,0.00824119
3,Data_nx101_500km.h5,100,100,8,3,0.0100958,1,0.0100958
3,Data_nx101_500km.h5,100,100,12,1,0.0429056,1,0.0429056
3,Data_nx101_500km.h5,100,100,12,2,0.0451523,1,0.0451523
3,Data_nx101_500km.h5,100,100,12,3,0.0420588,1,0.0420588
3,Data_nx101_500km.h5,100,100,16,1,0.0179491,1,0.0179491
3,Data_nx101_500km.h5,100,100,16,2,0.0206176,1,0.0206176
3,Data_nx101_500km.h5,100,100,16,3,0.017556,1,0.017556
3,Data_nx101_500km.h5,100,100,20,1,0.0408562,1,0.0408562
3,Data_nx101_500km.h5,100,100,20,2,0.0501377,1,0.0501377
3,Data_nx101_500km.h5,100,100,20,3,0.0427553,1,0.0427553
3,Data_nx101_500km.h5,100,100,24,1,0.033098,1,0.033098
3,Data_nx101_500km.h5,100,100,24,2,0.0321072,1,0.0321072
3,Data_nx101_500km.h5,100,100,24,3,0.0372132,1,0.0372132
3,Data_nx101_500km.h5,100,100,28,1,0.0375408,1,0.0375408
3,Data_nx101_500km.h5,100,100,28,2,0.0510133,1,0.0510133
3,Data_nx101_500km.h5,100,100,28,3,0.0390856,1,0.0390856
3,Data_nx101_500km.h5,100,100,32,1,0.0194798,1,0.0194798
3,Data_nx101_500km.h5,100,100,32,2,0.0294195,1,0.0294195
3,Data_nx101_500km.h5,100,100,32,3,0.0183147,1,0.0183147
3,Data_nx101_500km.h5,100,100,40,1,0.0511925,1,0.0511925
3,Data_nx101_500km.h5,100,100,40,2,0.056441,1,0.056441
3,Data_nx101_500km.h5,100,100,40,3,0.0535315,1,0.0535315
3,Data_nx101_500km.h5,100,100,48,1,0.0479558,1,0.0479558
3,Data_nx101_500km.h5,100,100,48,2,0.0565632,1,0.0565632
3,Data_nx101_500km.h5,100,100,48,3,0.0548737,1,0.0548737
3,Data_nx101_500km.h5,100,100,56,1,0.0487111,1,0.0487111
3,Data_nx101_500km.h5,100,100,56,2,0.043111,1,0.043111
3,Data_nx101_500km.h5,100,100,56,3,0.0420165,1,0.0420165
3,Data_nx101_500km.h5,100,100,64,1,0.0632843,1,0.0632843
3,Data_nx101_500km.h5,100,100,64,2,0.0620061,1,0.0620061
3,Data_nx101_500km.h5,100,100,64,3,0.103222,1,0.103222
3,Data_nx101_500km.h5,100,100,72,1,0.101643,1,0.101643
3,Data_nx101_500km.h5,100,100,72,2,0.0977104,1,0.0977104
3,Data_nx101_500km.h5,100,100,72,3,0.0940618,1,0.0940618
3,Data_nx201_500km.h5,200,200,1,1,0.00300822,1,0.00300822
3,Data_nx201_500km.h5,200,200,1,2,0.00306385,1,0.00306385
3,Data_nx201_500km.h5,200,200,1,3,0.00299924,1,0.00299924
3,Data_nx201_500km.h5,200,200,2,1,0.00165216,1,0.00165216
3,Data_nx201_500km.h5,200,200,2,2,0.00162262,1,0.00162262
3,Data_nx201_500km.h5,200,200,2,3,0.00163702,1,0.00163702
3,Data_nx201_500km.h5,200,200,4,1,0.00945326,1,0.00945326
3,Data_nx201_500km.h5,200,200,4,2,0.0113102,1,0.0113102
3,Data_nx201_500km.h5,200,200,4,3,0.00942654,1,0.00942654
3,Data_nx201_500km.h5,200,200,8,1,0.0100272,1,0.0100272
3,Data_nx201_500km.h5,200,200,8,2,0.0122771,1,0.0122771
3,Data_nx201_500km.h5,200,200,8,3,0.00903566,1,0.00903566
3,Data_nx201_500km.h5,200,200,12,1,0.0356506,1,0.0356506
3,Data_nx201_500km.h5,200,200,12,2,0.0436885,1,0.0436885
3,Data_nx201_500km.h5,200,200,12,3,0.0449643,1,0.0449643
3,Data_nx201_500km.h5,200,200,16,1,0.0173889,1,0.0173889
