test_case,global_nx,global_ny,procs,output_n,run,total_time_seconds,num_iterations,time_per_iteration
1,100,100,1,0,1,0.624783,261,0.0023938
1,100,100,1,0,2,0.621967,261,0.00238301
1,100,100,1,0,3,0.621968,261,0.00238302
1,100,100,1,10,1,0.70676,261,0.00270789
1,100,100,1,10,2,0.678316,261,0.00259891
1,100,100,1,10,3,0.678634,261,0.00260013
1,100,100,2,0,1,0.320975,261,0.00122979
1,100,100,2,0,2,0.328692,261,0.00125936
1,100,100,2,0,3,0.315951,261,0.00121054
1,100,100,2,10,1,0.440841,261,0.00168905
1,100,100,2,10,2,0.424935,261,0.0016281
1,100,100,2,10,3,0.40019,261,0.00153329
1,100,100,4,0,1,0.159515,261,0.00061117
1,100,100,4,0,2,0.159327,261,0.000610447
1,100,100,4,0,3,0.160081,261,0.000613338
1,100,100,4,10,1,0.388972,261,0.00149031
1,100,100,4,10,2,0.22881,261,0.000876667
1,100,100,4,10,3,0.207625,261,0.000795496
1,100,100,8,0,1,0.0827466,261,0.000317037
1,100,100,8,0,2,0.085526,261,0.000327686
1,100,100,8,0,3,0.0827497,261,0.000317049
1,100,100,8,10,1,0.383384,261,0.00146891
1,100,100,8,10,2,0.158556,261,0.000607493
1,100,100,8,10,3,0.16249,261,0.000622568
1,100,100,16,0,1,0.0442929,261,0.000169705
1,100,100,16,0,2,0.0451468,261,0.000172976
1,100,100,16,0,3,0.0438725,261,0.000168094
1,100,100,16,10,1,0.241208,261,0.000924169
1,100,100,16,10,2,0.269069,261,0.00103092
1,100,100,16,10,3,0.199347,261,0.000763782
1,100,100,32,0,1,0.0296454,261,0.000113584
1,100,100,32,0,2,0.0299162,261,0.000114621
1,100,100,32,0,3,0.0294656,261,0.000112895
1,100,100,32,10,1,0.58234,261,0.00223119
1,100,100,32,10,2,0.246147,261,0.000943092
1,100,100,32,10,3,0.252943,261,0.000969132
1,1000,1000,1,0,1,682.009,2870,0.237634
1,1000,1000,1,0,2,684.531,2870,0.238513
1,1000,1000,1,0,3,681.491,2870,0.237453
1,1000,1000,1,10,1,700.272,2870,0.243997
1,1000,1000,1,10,2,689.936,2870,0.240396
1,1000,1000,1,0,1,682.374,2870,0.237761
1,1000,1000,1,0,2,689.77,2870,0.240338
1,1000,1000,1,0,3,682.407,2870,0.237772
1,1000,1000,1,10,1,690.838,2870,0.24071
1,1000,1000,1,10,2,690.619,2870,0.240634
