test_case,local_base_size,global_nx,global_ny,procs,run,total_time_seconds,num_iterations,time_per_iteration
2,100,100,100,1,1,1.64191,687,0.00238997
2,100,100,100,1,2,1.63894,687,0.00238564
2,100,100,100,1,3,1.63473,687,0.00237953
2,100,200,100,2,1,4.89154,2036,0.00240252
2,100,200,100,2,2,4.8907,2036,0.00240211
2,100,200,100,2,3,4.8916,2036,0.00240256
2,100,200,200,4,1,6.18873,2564,0.0024137
2,100,200,200,4,2,6.19733,2564,0.00241706
2,100,200,200,4,3,6.17058,2564,0.00240662
2,100,400,200,8,1,19.7903,8181,0.00241906
2,100,400,200,8,2,20.235,8181,0.00247341
2,100,400,200,8,3,19.9291,8181,0.00243603
2,100,400,300,12,1,20.3633,8377,0.00243086
2,100,400,300,12,2,20.3042,8377,0.0024238
2,100,400,300,12,3,20.5087,8377,0.00244821
2,100,400,400,16,1,24.239,9916,0.00244443
2,100,400,400,16,2,24.0714,9916,0.00242753
2,100,400,400,16,3,25.857,9916,0.00260761
2,100,500,400,20,1,35.0594,13380,0.00262028
2,100,500,400,20,2,32.6867,13380,0.00244295
2,100,500,400,20,3,32.5585,13380,0.00243337
2,100,600,400,24,1,45.2062,18549,0.00243712
2,100,600,400,24,2,45.667,18549,0.00246197
2,100,600,400,24,3,45.4623,18549,0.00245093
2,100,700,400,28,1,65.3267,24770,0.00263733
2,100,700,400,28,2,63.0444,24770,0.00254519
2,100,700,400,28,3,61.5937,24770,0.00248663
2,100,800,400,32,1,82.684,31780,0.00260176
2,100,800,400,32,2,82.8278,31780,0.00260629
2,100,800,400,32,3,80.8303,31780,0.00254343
2,100,800,500,40,1,81.6817,32528,0.00251112
2,100,800,500,40,2,86.1237,32528,0.00264768
2,100,800,500,40,3,79.6052,32528,0.00244728
2,100,800,600,48,1,84.3432,33312,0.00253192
2,100,800,600,48,2,84.7077,33312,0.00254286
2,100,800,600,48,3,86.9782,33312,0.00261102
2,100,800,700,56,1,92.9953,35431,0.00262469
2,100,800,700,56,2,94.8848,35431,0.00267802
2,100,800,700,56,3,92.6565,35431,0.00261513
2,100,800,800,64,1,112.981,39117,0.00288828
2,100,800,800,64,2,112.541,39117,0.00287703
2,100,800,800,64,3,105.265,39117,0.00269102
2,100,900,800,72,1,140.365,44321,0.00316701
2,100,900,800,72,2,136.572,44321,0.00308144
2,100,900,800,72,3,139.391,44321,0.00314504
2,200,200,200,1,1,24.3002,2564,0.00947747
2,200,200,200,1,2,24.3538,2564,0.00949836
2,200,200,200,1,3,24.3595,2564,0.00950059
2,200,400,200,2,1,78.119,8181,0.00954883
2,200,400,200,2,2,78.6007,8181,0.00960771
2,200,400,200,2,3,78.1559,8181,0.00955335
2,200,400,400,4,1,95.2612,9916,0.00960682
2,200,400,400,4,2,94.8565,9916,0.009566
2,200,400,400,4,3,94.8401,9916,0.00956435
2,200,800,400,8,1,304.685,31780,0.00958731
2,200,800,400,8,2,304.932,31780,0.00959508
2,200,800,400,8,3,305.028,31780,0.00959811
2,200,800,600,12,1,324.94,33312,0.00975444
2,200,800,600,12,2,332.376,33312,0.00997767
2,200,800,600,12,3,326.684,33312,0.00980681
2,200,800,800,16,1,374.637,39117,0.00957734
2,200,800,800,16,2,375.004,39117,0.00958672
2,200,800,800,16,3,377.632,39117,0.0096539
2,200,1000,800,20,1,519.739,53445,0.00972474
2,200,1000,800,20,2,538.125,53445,0.0100688
2,200,1000,800,20,3,513.6,53445,0.00960987
2,200,1200,800,24,1,679.597,70170,0.00968501
2,200,1200,800,24,2,685.583,70170,0.00977031
2,200,1200,800,24,3,680.637,70170,0.00969983
2,200,1400,800,28,1,888.098,90710,0.00979052
2,200,1600,800,32,1,0.725181,70,0.0103597
2,200,1600,800,32,2,0.748107,70,0.0106872
2,200,1600,1000,40,1,0.827206,73,0.0113316
2,200,1600,1000,40,2,0.79092,73,0.0108345
2,200,1600,1200,48,1,0.830598,77,0.010787
2,200,1600,1200,48,2,0.834354,77,0.0108358
2,200,1600,1400,56,1,0.885323,81,0.0109299
2,200,1600,1400,56,2,0.892043,81,0.0110129
2,200,1600,1600,64,1,1.17945,86,0.0137146
2,200,1600,1600,64,2,0.994719,86,0.0115665
2,200,1800,1600,72,1,1.15271,99,0.0116435
2,200,1800,1600,72,2,1.14111,99,0.0115263
2,300,300,300,1,1,0.115061,6,0.0191769
2,300,300,300,1,2,0.11552,6,0.0192534
2,300,600,300,2,1,0.197324,10,0.0197324
2,300,600,300,2,2,0.197896,10,0.0197896
2,300,600,600,4,1,0.221928,11,0.0201753
2,300,600,600,4,2,0.222473,11,0.0202248
2,300,1200,600,8,1,0.46581,21,0.0221814
2,300,1200,600,8,2,0.469224,21,0.022344
2,300,1200,900,12,1,0.503658,21,0.0239837
2,300,1200,900,12,2,0.525052,21,0.0250025
2,300,1200,1200,16,1,0.514626,21,0.024506
2,300,1200,1200,16,2,0.479107,21,0.0228146
2,300,1500,1200,20,1,0.679359,27,0.0251615
2,300,1500,1200,20,2,0.641351,27,0.0237537
2,300,1800,1200,24,1,0.807229,33,0.0244615
2,300,1800,1200,24,2,0.743605,33,0.0225335
2,300,2100,1200,28,1,0.946825,39,0.0242776
2,300,2100,1200,28,2,0.889879,39,0.0228174
2,300,2400,1200,32,1,1.01543,46,0.0220747
2,300,2400,1200,32,2,1.10392,46,0.0239982
2,300,2400,1500,40,1,1.12916,48,0.0235241
2,300,2400,1500,40,2,1.12,48,0.0233333
2,300,2400,1800,48,1,1.15318,49,0.0235343
2,300,2400,1800,48,2,1.17194,49,0.0239171
2,300,2400,2100,56,1,1.22909,52,0.0236363
2,300,2400,2100,56,2,1.22553,52,0.0235679
2,300,2400,2400,64,1,1.28374,54,0.023773
2,300,2400,2400,64,2,1.36806,54,0.0253344
2,300,2700,2400,72,1,1.61607,62,0.0260656
2,300,2700,2400,72,2,1.58547,62,0.0255721
