test_case,global_nx,global_ny,procs,run,total_time_seconds,num_iterations,time_per_iteration
1,100,100,1,1,0.63016,261,0.00241441
1,100,100,1,2,0.630133,261,0.0024143
1,100,100,1,3,0.630298,261,0.00241493
1,200,200,1,1,5.13627,537,0.00956475
1,200,200,1,2,5.1306,537,0.00955418
1,200,200,1,3,5.13178,537,0.00955639
1,300,300,1,1,17.6145,820,0.0214811
1,300,300,1,2,17.5335,820,0.0213824
1,300,300,1,3,17.5339,820,0.0213828
1,400,400,1,1,42.0588,1107,0.0379935
1,400,400,1,2,42.0801,1107,0.0380128
1,400,400,1,3,42.0886,1107,0.0380204
1,500,500,1,1,83.0773,1396,0.0595109
1,500,500,1,2,83.0604,1396,0.0594989
1,500,500,1,3,82.7405,1396,0.0592697
1,600,600,1,1,144.039,1688,0.0853312
1,600,600,1,2,144.021,1688,0.0853205
1,600,600,1,3,146.086,1688,0.086544
1,700,700,1,1,230.003,1982,0.116046
1,700,700,1,2,234.137,1982,0.118132
1,700,700,1,3,234.296,1982,0.118212
1,800,800,1,1,348.275,2277,0.152953
